model,metric,point_estimate,bootstrap_mean,ci_lower_2.5%,ci_upper_97.5%,n_bootstrap
Random Forest,macro_f1,0.5511200198278688,0.5502426416480043,0.5149918742902134,0.5852742200031325,2000
Random Forest,balanced_accuracy,0.5555555555555557,0.5552685519349516,0.520483092239119,0.5899293749580695,2000
Random Forest,elite_recall,0.6413502109704642,0.6419773137687427,0.5813796958855099,0.6991625180512274,2000
XGBoost,macro_f1,0.5463189671990363,0.5454944591438251,0.5101068486746488,0.5801395364032309,2000
XGBoost,balanced_accuracy,0.549929676511955,0.5497148773679614,0.5145957514462541,0.584518210248106,2000
XGBoost,elite_recall,0.6160337552742616,0.6168101602517825,0.5593204645323289,0.6751109649843826,2000
CatBoost,macro_f1,0.5540504196744006,0.552916905879853,0.516927923264583,0.5864918414546425,2000
CatBoost,balanced_accuracy,0.5569620253164557,0.5564372644290884,0.5206885128527177,0.5898281656984998,2000
CatBoost,elite_recall,0.6286919831223629,0.6291830504050127,0.5695605367172873,0.6851063829787234,2000
FT-Transformer,macro_f1,0.5451893440144412,0.544331027442538,0.5077614374490311,0.5791310930264787,2000
FT-Transformer,balanced_accuracy,0.5485232067510548,0.5482809669482837,0.5133091092853447,0.5828608019356478,2000
FT-Transformer,elite_recall,0.6075949367088608,0.6084538346892863,0.5473138503086419,0.6680870145978437,2000
MLP,macro_f1,0.5558515911629717,0.555004035599893,0.5199514728306895,0.5890011074875096,2000
MLP,balanced_accuracy,0.5625879043600562,0.562332453519662,0.5278498859639494,0.5961548009110883,2000
MLP,elite_recall,0.6497890295358649,0.6503540105221082,0.5916637323943662,0.708532584723958,2000
Logistic Regression,macro_f1,0.5697692931071529,0.5690295388858378,0.5335606644402202,0.6051756157833377,2000
Logistic Regression,balanced_accuracy,0.5724331926863573,0.5722682378782479,0.5379285180724475,0.6080540441538644,2000
Logistic Regression,elite_recall,0.5949367088607594,0.5955072109557008,0.5330658590046387,0.6531458373794264,2000
Logistic Regression minus MLP,macro_f1_difference,0.013917701944181182,0.014025503285944933,-0.011818525269200464,0.04160653235754839,2000
Logistic Regression minus FT-Transformer,macro_f1_difference,0.02457994909271166,0.024698511443299823,-0.0006885471893837203,0.050114922171033145,2000
MLP minus FT-Transformer,macro_f1_difference,0.01066224714853048,0.010673008157354889,-0.009206445770687766,0.03189670330506668,2000
