player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status,rf_normalized,rf_prediction_available,final_score,weights_renormalized,effective_weight_rf,effective_weight_recent_form,effective_weight_reliability,forecast_contribution,recent_form_contribution,reliability_contribution,selection_scenario,objective_value
B Kumar,IPL,2024,2023,0.07266284,0.14520167,0.7821355,Bowler,72.787,0.7959183673469388,3,1.0,0.8194444444444444,1.70947267,0.854736335,Elite,1,FT-Transformer,frozen_primary,0.854736335,1,0.854736335,False,1.0,0.0,0.0,0.854736335,0.0,0.0,Cross_League_XI,9.025437740000001
CF Parkinson,T20_Blast,2024,2023,0.06987336,0.14483802,0.78528863,All-Rounder,74.92200000000001,0.8253968253968254,3,1.0,0.6190476190476191,1.7154152800000002,0.8577076400000001,Elite,1,FT-Transformer,frozen_primary,0.8577076400000001,1,0.8577076400000001,False,1.0,0.0,0.0,0.8577076400000001,0.0,0.0,Cross_League_XI,9.025437740000001
F du Plessis,IPL,2024,2023,0.08028965,0.3119314,0.6077789,Batsman,83.686,0.9791666666666666,3,1.0,0.7741935483870968,1.5274892,0.7637446,Elite,1,FT-Transformer,frozen_primary,0.7637446,1,0.7637446,False,1.0,0.0,0.0,0.7637446,0.0,0.0,Cross_League_XI,9.025437740000001
NA Sowter,T20_Blast,2024,2023,0.07082556,0.15532544,0.77384895,Bowler,83.74200000000003,0.9838709677419356,3,1.0,0.7962962962962963,1.70302334,0.8515116699999999,Elite,1,FT-Transformer,frozen_primary,0.8515116699999999,1,0.8515116699999999,False,1.0,0.0,0.0,0.8515116699999999,0.0,0.0,Cross_League_XI,9.025437740000001
PP Chawla,IPL,2024,2023,0.07022355,0.14080134,0.7889752,All-Rounder,82.90714285714287,0.9545454545454546,2,1.0,0.6136363636363636,1.71875174,0.85937587,Elite,1,FT-Transformer,frozen_primary,0.85937587,1,0.85937587,False,1.0,0.0,0.0,0.85937587,0.0,0.0,Cross_League_XI,9.025437740000001
Rashid Khan,IPL,2024,2023,0.06181584,0.15750392,0.78068024,All-Rounder,94.81300000000002,1.0,3,1.0,0.6136363636363636,1.7188644,0.8594322,Elite,1,FT-Transformer,frozen_primary,0.8594322,1,0.8594322,False,1.0,0.0,0.0,0.8594322,0.0,0.0,Cross_League_XI,9.025437740000001
SV Samson,IPL,2024,2023,0.09170941,0.38304222,0.52524835,Wicketkeeper-Batsman,75.286,0.8571428571428571,3,1.0,0.6666666666666666,1.4335389200000002,0.7167694600000001,Elite,1,FT-Transformer,frozen_primary,0.7167694600000001,1,0.7167694600000001,False,1.0,0.0,0.0,0.7167694600000001,0.0,0.0,Cross_League_XI,9.025437740000001
Shubman Gill,IPL,2024,2023,0.07754404,0.32562998,0.5968259,Batsman,88.68400000000001,1.0,3,1.0,0.7741935483870968,1.51928178,0.75964089,Elite,1,FT-Transformer,frozen_primary,0.75964089,1,0.75964089,False,1.0,0.0,0.0,0.75964089,0.0,0.0,Cross_League_XI,9.025437740000001
TMJ Smith,T20_Blast,2024,2023,0.07187406,0.1518322,0.7762937,Bowler,78.07100000000001,0.9032258064516128,3,1.0,0.7962962962962963,1.7044196,0.8522098,Elite,1,FT-Transformer,frozen_primary,0.8522098,1,0.8522098,False,1.0,0.0,0.0,0.8522098,0.0,0.0,Cross_League_XI,9.025437740000001
V Kohli,IPL,2024,2023,0.07267303,0.27664858,0.6506784,Batsman,71.21900000000001,0.875,3,1.0,0.7741935483870968,1.57800538,0.78900269,Elite,1,FT-Transformer,frozen_primary,0.78900269,1,0.78900269,False,1.0,0.0,0.0,0.78900269,0.0,0.0,Cross_League_XI,9.025437740000001
YS Chahal,IPL,2024,2023,0.07365702,0.13007297,0.7962701,Bowler,87.822,0.979591836734694,3,1.0,0.8194444444444444,1.72261317,0.861306585,Elite,1,FT-Transformer,frozen_primary,0.861306585,1,0.861306585,False,1.0,0.0,0.0,0.861306585,0.0,0.0,Cross_League_XI,9.025437740000001
