player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status
A Athanaze,CPL,2024,2023,0.5816089,0.32080686,0.097584255,Batsman,,,0,0.2667,0.5416666666666666,0.51597537,0.257987685,Poor,1,FT-Transformer,frozen_primary
A Badoni,IPL,2024,2023,0.34249997,0.4899557,0.16754432,Batsman,46.87,0.3958333333333333,1,0.7667,0.4516129032258064,0.82504434,0.41252217,Average,1,FT-Transformer,frozen_primary
A Karvelas,T20_Blast,2024,2023,0.36251646,0.24691024,0.3905733,Bowler,,,0,0.2333,0.2160493827160493,1.02805684,0.51402842,Elite,1,FT-Transformer,frozen_primary
A Lyth,T20_Blast,2024,2023,0.1380713,0.47241175,0.3895169,All-Rounder,48.370000000000005,0.2222222222222222,3,1.0,0.6190476190476191,1.2514455500000001,0.6257227750000001,Average,1,FT-Transformer,frozen_primary
A Manohar,IPL,2024,2023,0.46964315,0.40615836,0.12419848,Batsman,38.75,0.25,1,0.4333,0.3306451612903225,0.65455532,0.32727766,Poor,1,FT-Transformer,frozen_primary
A Mishra,IPL,2024,2023,0.21216209,0.27317566,0.51466227,All-Rounder,73.53857142857143,0.8636363636363636,2,1.0,0.6136363636363636,1.3025001999999999,0.6512500999999999,Elite,1,FT-Transformer,frozen_primary
A Nortje,IPL,2024,2023,0.103615694,0.20517695,0.69120735,Bowler,65.27000000000001,0.6326530612244898,3,1.0,0.8194444444444444,1.58759165,0.793795825,Elite,1,FT-Transformer,frozen_primary
A Zampa,BBL,2024,2023,0.15186025,0.2236932,0.6244465,Bowler,65.525,0.59375,3,1.0,0.75,1.4725862,0.7362931,Elite,1,FT-Transformer,frozen_primary
AAP Atkinson,T20_Blast,2024,2023,0.10741418,0.19979401,0.6927918,Bowler,71.03400000000002,0.6774193548387096,3,1.0,0.7962962962962963,1.5853776099999999,0.7926888049999999,Elite,1,FT-Transformer,frozen_primary
AC Agar,BBL,2024,2023,0.17559041,0.28662443,0.5377852,All-Rounder,58.90300000000001,0.4347826086956521,3,1.0,0.5869565217391305,1.36219483,0.681097415,Elite,1,FT-Transformer,frozen_primary
AC Agar,T20_Blast,2024,2023,0.4105268,0.2750765,0.3143967,Bowler,,,0,0.3333,0.2962962962962963,0.9038698999999999,0.45193494999999995,Poor,1,FT-Transformer,frozen_primary
AC Lenham,T20_Blast,2024,2023,0.5850996,0.23133829,0.18356216,Bowler,17.753333333333334,0.0806451612903225,2,0.6667,0.4444444444444444,0.59846261,0.299231305,Poor,1,FT-Transformer,frozen_primary
AD Hales,PSL,2024,2023,0.28394046,0.5296333,0.1864263,Batsman,52.70000000000001,0.56,3,1.0,0.8676470588235294,0.9024859,0.45124295,Average,1,FT-Transformer,frozen_primary
AD Hales,T20_Blast,2024,2023,0.123149276,0.46867847,0.40817228,Batsman,66.274,0.8571428571428571,3,1.0,0.7956989247311828,1.28502303,0.642511515,Average,1,FT-Transformer,frozen_primary
AD Russell,CPL,2024,2023,0.08000089,0.27044106,0.64955807,All-Rounder,64.43200000000002,0.5263157894736842,3,1.0,0.631578947368421,1.5695572,0.7847786,Elite,1,FT-Transformer,frozen_primary
AD Russell,IPL,2024,2023,0.088169076,0.325156,0.58667487,All-Rounder,64.74500000000002,0.5454545454545454,3,1.0,0.6136363636363636,1.49850574,0.74925287,Elite,1,FT-Transformer,frozen_primary
