player_name,league,target_season,cutoff_season,forecast_prob_poor,forecast_prob_average,forecast_prob_elite,role,recent_form,recent_form_percentile,n_recent_seasons_used,reliability,reliability_percentile,forecast_expected_tier,forecast_normalized,forecast_predicted_tier,eligible,forecast_model,forecast_model_status,rf_normalized,rf_prediction_available,final_score,weights_renormalized,effective_weight_rf,effective_weight_recent_form,effective_weight_reliability,forecast_contribution,recent_form_contribution,reliability_contribution,selection_scenario,objective_value
BJ Dwarshuis,BBL,2024,2023,0.06992387,0.17908649,0.7509896,All-Rounder,77.50400000000002,1.0,3,1.0,0.5869565217391305,1.68106569,0.840532845,Elite,1,FT-Transformer,frozen_primary,0.840532845,1,0.840532845,False,1.0,0.0,0.0,0.840532845,0.0,0.0,BBL_XI,8.212409305
CA Lynn,BBL,2024,2023,0.12345482,0.44064522,0.43589997,Batsman,69.75,0.972972972972973,3,1.0,0.7666666666666667,1.31244516,0.65622258,Average,1,FT-Transformer,frozen_primary,0.65622258,1,0.65622258,False,1.0,0.0,0.0,0.65622258,0.0,0.0,BBL_XI,8.212409305
CJ Boyce,BBL,2024,2023,0.09229345,0.17295952,0.734747,Bowler,76.694,0.90625,3,1.0,0.75,1.64245352,0.8212267600000001,Elite,1,FT-Transformer,frozen_primary,0.8212267600000001,1,0.8212267600000001,False,1.0,0.0,0.0,0.8212267600000001,0.0,0.0,BBL_XI,8.212409305
DR Sams,BBL,2024,2023,0.08051008,0.22048047,0.6990094,All-Rounder,64.531,0.6521739130434783,3,1.0,0.5869565217391305,1.61849927,0.809249635,Elite,1,FT-Transformer,frozen_primary,0.809249635,1,0.809249635,False,1.0,0.0,0.0,0.809249635,0.0,0.0,BBL_XI,8.212409305
HWR Cartwright,BBL,2024,2023,0.1947039,0.50430036,0.3009957,Batsman,57.019000000000005,0.8918918918918919,3,1.0,0.7666666666666667,1.10629176,0.55314588,Average,1,FT-Transformer,frozen_primary,0.55314588,1,0.55314588,False,1.0,0.0,0.0,0.55314588,0.0,0.0,BBL_XI,8.212409305
J Edwards,BBL,2024,2023,0.15372102,0.39998955,0.44628945,Batsman,39.191428571428574,0.4864864864864865,2,1.0,0.7666666666666667,1.29256845,0.646284225,Elite,1,FT-Transformer,frozen_primary,0.646284225,1,0.646284225,False,1.0,0.0,0.0,0.646284225,0.0,0.0,BBL_XI,8.212409305
JP Behrendorff,BBL,2024,2023,0.08687598,0.1547101,0.75841385,Bowler,81.63000000000001,0.96875,3,1.0,0.75,1.6715378,0.8357688999999999,Elite,1,FT-Transformer,frozen_primary,0.8357688999999999,1,0.8357688999999999,False,1.0,0.0,0.0,0.8357688999999999,0.0,0.0,BBL_XI,8.212409305
JR Philippe,BBL,2024,2023,0.13670284,0.4790319,0.38426527,Wicketkeeper-Batsman,57.46200000000001,0.6666666666666666,3,1.0,0.6153846153846154,1.24756244,0.62378122,Average,1,FT-Transformer,frozen_primary,0.62378122,1,0.62378122,False,1.0,0.0,0.0,0.62378122,0.0,0.0,BBL_XI,8.212409305
NT Ellis,BBL,2024,2023,0.08235182,0.20438519,0.71326303,All-Rounder,75.958,0.9565217391304348,3,1.0,0.5869565217391305,1.63091125,0.815455625,Elite,1,FT-Transformer,frozen_primary,0.815455625,1,0.815455625,False,1.0,0.0,0.0,0.815455625,0.0,0.0,BBL_XI,8.212409305
SH Johnson,BBL,2024,2023,0.0904115,0.19673517,0.7128533,Bowler,83.13,1.0,1,0.7,0.3809523809523809,1.62244177,0.811220885,Elite,1,FT-Transformer,frozen_primary,0.811220885,1,0.811220885,False,1.0,0.0,0.0,0.811220885,0.0,0.0,BBL_XI,8.212409305
XC Bartlett,BBL,2024,2023,0.09203029,0.21689776,0.69107187,Bowler,75.77700000000002,0.875,3,1.0,0.75,1.5990415,0.79952075,Elite,1,FT-Transformer,frozen_primary,0.79952075,1,0.79952075,False,1.0,0.0,0.0,0.79952075,0.0,0.0,BBL_XI,8.212409305
BA King,CPL,2024,2023,0.18504341,0.53302646,0.28193015,Batsman,60.114,0.9166666666666666,3,1.0,0.8958333333333334,1.0968867599999998,0.5484433799999999,Average,1,FT-Transformer,frozen_primary,0.5484433799999999,1,0.5484433799999999,False,1.0,0.0,0.0,0.5484433799999999,0.0,0.0,CPL_XI,7.907733595
CJ Green,CPL,2024,2023,0.07169475,0.19578597,0.73251927,All-Rounder,73.31800000000001,0.7894736842105263,3,1.0,0.631578947368421,1.66082451,0.8304122549999999,Elite,1,FT-Transformer,frozen_primary,0.8304122549999999,1,0.8304122549999999,False,1.0,0.0,0.0,0.8304122549999999,0.0,0.0,CPL_XI,7.907733595
D Pretorius,CPL,2024,2023,0.086855255,0.19901139,0.7141334,Bowler,84.42,1.0,1,0.6,0.5740740740740741,1.6272781900000002,0.8136390950000001,Elite,1,FT-Transformer,frozen_primary,0.8136390950000001,1,0.8136390950000001,False,1.0,0.0,0.0,0.8136390950000001,0.0,0.0,CPL_XI,7.907733595
F du Plessis,CPL,2024,2023,0.27715075,0.5298329,0.1930164,Batsman,44.03500000000001,0.5,3,0.9667,0.75,0.9158657,0.45793285,Average,1,FT-Transformer,frozen_primary,0.45793285,1,0.45793285,False,1.0,0.0,0.0,0.45793285,0.0,0.0,CPL_XI,7.907733595
G Motie,CPL,2024,2023,0.09438051,0.20777917,0.69784033,Bowler,72.20666666666668,0.8571428571428571,2,0.9,0.7407407407407407,1.60345983,0.801729915,Elite,1,FT-Transformer,frozen_primary,0.801729915,1,0.801729915,False,1.0,0.0,0.0,0.801729915,0.0,0.0,CPL_XI,7.907733595
Imad Wasim,CPL,2024,2023,0.06584487,0.22346371,0.71069145,All-Rounder,78.44400000000002,0.9473684210526316,3,1.0,0.631578947368421,1.64484661,0.822423305,Elite,1,FT-Transformer,frozen_primary,0.822423305,1,0.822423305,False,1.0,0.0,0.0,0.822423305,0.0,0.0,CPL_XI,7.907733595
Imran Tahir,CPL,2024,2023,0.08459625,0.19060612,0.72479767,Bowler,81.03600000000002,0.9523809523809524,3,1.0,0.925925925925926,1.64020146,0.8201007299999999,Elite,1,FT-Transformer,frozen_primary,0.8201007299999999,1,0.8201007299999999,False,1.0,0.0,0.0,0.8201007299999999,0.0,0.0,CPL_XI,7.907733595
