player_name,league,role,cluster,cluster_name
A Ashish Reddy,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
A Javid,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
A Lyth,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
A Symonds,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
AC Agar,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
AD Mathews,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
AD Russell,BBL,All-Rounder,3,Developing All-Rounders
AD Russell,CPL,All-Rounder,1,Balanced Established All-Rounders
AD Russell,IPL,All-Rounder,1,Balanced Established All-Rounders
AD Russell,PSL,All-Rounder,2,Low-Recent-Activity All-Rounders
AD Thomason,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
AG Salter,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
AJ Hosein,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
AJ Nair,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
AJ Tye,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
AL Hughes,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
AM Hardie,BBL,All-Rounder,3,Developing All-Rounders
AM Lilley,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
AR Nurse,CPL,All-Rounder,2,Low-Recent-Activity All-Rounders
AR Patel,IPL,All-Rounder,0,Bowling-Oriented All-Rounders
AS Joseph,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
Anwar Ali,PSL,All-Rounder,3,Developing All-Rounders
Ashar Zaidi,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
Azhar Mahmood,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
Azhar Mahmood,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
BA Carse,T20_Blast,All-Rounder,3,Developing All-Rounders
BA Raine,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
BA Stokes,IPL,All-Rounder,3,Developing All-Rounders
BAC Howell,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
BCJ Cutting,BBL,All-Rounder,1,Balanced Established All-Rounders
BGF Green,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
BJ Dwarshuis,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
BJ Webster,BBL,All-Rounder,1,Balanced Established All-Rounders
BL D'Oliveira,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
BW Hilfenhaus,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
BWM Mike,T20_Blast,All-Rounder,3,Developing All-Rounders
C Green,IPL,All-Rounder,3,Developing All-Rounders
C Hemraj,CPL,All-Rounder,3,Developing All-Rounders
C Overton,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
C de Grandhomme,T20_Blast,All-Rounder,3,Developing All-Rounders
CA Ingram,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
CAJ Meschede,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
CF Parkinson,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
CG Harrison,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
CH Morris,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
CJ Anderson,IPL,All-Rounder,2,Low-Recent-Activity All-Rounders
CJ Green,BBL,All-Rounder,0,Bowling-Oriented All-Rounders
CJ Green,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
CJ Green,T20_Blast,All-Rounder,3,Developing All-Rounders
CJ Jordan,BBL,All-Rounder,3,Developing All-Rounders
CJ Jordan,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
CN Ackermann,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
CR Brathwaite,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
CR Brathwaite,T20_Blast,All-Rounder,3,Developing All-Rounders
CR Woakes,T20_Blast,All-Rounder,3,Developing All-Rounders
CS Delport,T20_Blast,All-Rounder,2,Low-Recent-Activity All-Rounders
D Pretorius,CPL,All-Rounder,3,Developing All-Rounders
D Wiese,CPL,All-Rounder,3,Developing All-Rounders
D Wiese,PSL,All-Rounder,3,Developing All-Rounders
D Wiese,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
DA Douthwaite,T20_Blast,All-Rounder,0,Bowling-Oriented All-Rounders
DI Stevens,T20_Blast,All-Rounder,1,Balanced Established All-Rounders
DJ Bravo,BBL,All-Rounder,2,Low-Recent-Activity All-Rounders
DJ Bravo,CPL,All-Rounder,0,Bowling-Oriented All-Rounders
