player_name,league,role,cluster,cluster_name
A Athanaze,CPL,Batsman,3,Developing Batters
A Badoni,IPL,Batsman,2,Recent-Form Batters
A Balbirnie,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
A Bramble,CPL,Batsman,3,Developing Batters
A Manohar,IPL,Batsman,3,Developing Batters
AA Jangoo,CPL,Batsman,3,Developing Batters
AA Jhunjhunwala,IPL,Batsman,3,Developing Batters
AB Fudadin,CPL,Batsman,3,Developing Batters
AB McDonald,BBL,Batsman,3,Developing Batters
AB de Villiers,IPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
AC Blizzard,BBL,Batsman,0,"Established Batters, Low Recent Activity"
AC Gilchrist,IPL,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
AC Voges,BBL,Batsman,0,"Established Batters, Low Recent Activity"
AC Voges,CPL,Batsman,3,Developing Batters
AD Hales,BBL,Batsman,1,Elite High-Volume Batters
AD Hales,CPL,Batsman,2,Recent-Form Batters
AD Hales,PSL,Batsman,2,Recent-Form Batters
AD Hales,T20_Blast,Batsman,1,Elite High-Volume Batters
AD Nath,IPL,Batsman,3,Developing Batters
ADS Fletcher,BBL,Wicketkeeper-Batsman,3,Developing Batters
ADS Fletcher,CPL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
AG Prince,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
AG Wakely,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
AGH Orr,T20_Blast,Batsman,2,Recent-Form Batters
AHT Donald,T20_Blast,Batsman,1,Elite High-Volume Batters
AI Ross,BBL,Batsman,1,Elite High-Volume Batters
AJ Blake,T20_Blast,Batsman,1,Elite High-Volume Batters
AJ Doolan,BBL,Batsman,3,Developing Batters
AJ Finch,BBL,Batsman,1,Elite High-Volume Batters
AJ Finch,IPL,Batsman,1,Elite High-Volume Batters
AJ Finch,T20_Blast,Batsman,1,Elite High-Volume Batters
AJ Hodd,T20_Blast,Wicketkeeper-Batsman,3,Developing Batters
AJ Hose,BBL,Batsman,2,Recent-Form Batters
AJ Hose,T20_Blast,Batsman,1,Elite High-Volume Batters
AJ Turner,BBL,Batsman,1,Elite High-Volume Batters
AJ Turner,T20_Blast,Batsman,2,Recent-Form Batters
AJA Wheater,T20_Blast,Wicketkeeper-Batsman,0,"Established Batters, Low Recent Activity"
AK Markram,IPL,Batsman,2,Recent-Form Batters
AL Davies,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
AL Menaria,IPL,Batsman,3,Developing Batters
AM Ali,T20_Blast,Batsman,3,Developing Batters
AM McCarthy,CPL,Batsman,3,Developing Batters
AM Nayar,IPL,Batsman,3,Developing Batters
AM Rahane,IPL,Batsman,1,Elite High-Volume Batters
AM Rossington,T20_Blast,Wicketkeeper-Batsman,1,Elite High-Volume Batters
AN Kervezee,T20_Blast,Batsman,3,Developing Batters
AN Petersen,T20_Blast,Batsman,0,"Established Batters, Low Recent Activity"
AP Devcich,CPL,Batsman,3,Developing Batters
AP Devcich,PSL,Batsman,0,"Established Batters, Low Recent Activity"
AP Tare,IPL,Wicketkeeper-Batsman,3,Developing Batters
APR Gidman,T20_Blast,Batsman,3,Developing Batters
AS Raut,IPL,Batsman,3,Developing Batters
AT Carey,BBL,Wicketkeeper-Batsman,1,Elite High-Volume Batters
AT Rayudu,IPL,Batsman,1,Elite High-Volume Batters
AW Gale,T20_Blast,Batsman,3,Developing Batters
AWJ Auguste,CPL,Batsman,3,Developing Batters
AZ Lees,T20_Blast,Batsman,1,Elite High-Volume Batters
Abdul Samad,IPL,Batsman,2,Recent-Form Batters
Abdullah Shafique,PSL,Batsman,2,Recent-Form Batters
