player_name,league,role,cluster,cluster_name
A Carter,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
A Chandila,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
A Kumble,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
A Mishra,IPL,Bowler,0,Experienced Wicket-Takers
A Mithun,IPL,Bowler,2,Developing Bowlers
A Nehra,IPL,Bowler,0,Experienced Wicket-Takers
A Nortje,CPL,Bowler,1,Recent-Form Strike Bowlers
A Nortje,IPL,Bowler,1,Recent-Form Strike Bowlers
A Phillip,CPL,Bowler,2,Developing Bowlers
A Shahzad,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
A Singh,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
A Zampa,BBL,Bowler,0,Experienced Wicket-Takers
A Zampa,CPL,Bowler,2,Developing Bowlers
A Zampa,IPL,Bowler,1,Recent-Form Strike Bowlers
A Zampa,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
AA Chavan,IPL,Bowler,2,Developing Bowlers
AAP Atkinson,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
AB Agarkar,IPL,Bowler,2,Developing Bowlers
AB Dinda,IPL,Bowler,0,Experienced Wicket-Takers
AB McDonald,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
AC Agar,T20_Blast,Bowler,2,Developing Bowlers
AC Lenham,T20_Blast,Bowler,2,Developing Bowlers
AC McDermott,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
AC Thomas,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
AC Thomas,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
AC Thomas,T20_Blast,Bowler,2,Developing Bowlers
AD Mascarenhas,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
AEN Riley,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
AF Milne,BBL,Bowler,2,Developing Bowlers
AF Milne,IPL,Bowler,2,Developing Bowlers
AF Milne,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
AG Murtaza,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
AJ Ball,T20_Blast,Bowler,2,Developing Bowlers
AJ Hosein,BBL,Bowler,1,Recent-Form Strike Bowlers
AJ Hosein,PSL,Bowler,1,Recent-Form Strike Bowlers
AJ Ireland,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
AJ Tye,BBL,Bowler,0,Experienced Wicket-Takers
AJ Tye,IPL,Bowler,1,Recent-Form Strike Bowlers
AL Fekete,BBL,Bowler,2,Developing Bowlers
AN Ahmed,IPL,Bowler,2,Developing Bowlers
AP Palladino,T20_Blast,Bowler,2,Developing Bowlers
AR Nedd,CPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
AS Joseph,IPL,Bowler,2,Developing Bowlers
AS Rajpoot,IPL,Bowler,2,Developing Bowlers
ASS Nijjar,T20_Blast,Bowler,2,Developing Bowlers
AT Thomson,T20_Blast,Bowler,2,Developing Bowlers
AU Rashid,T20_Blast,Bowler,0,Experienced Wicket-Takers
AW Finch,T20_Blast,Bowler,2,Developing Bowlers
AW Gorvin,T20_Blast,Bowler,1,Recent-Form Strike Bowlers
AW O'Brien,BBL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Aamer Jamal,PSL,Bowler,2,Developing Bowlers
Aamer Yamin,PSL,Bowler,2,Developing Bowlers
Aaron Beard,T20_Blast,Bowler,2,Developing Bowlers
Abbas Afridi,PSL,Bowler,1,Recent-Form Strike Bowlers
Abrar Ahmed,PSL,Bowler,1,Recent-Form Strike Bowlers
Ahmed Daniyal,PSL,Bowler,2,Developing Bowlers
Akash Madhwal,IPL,Bowler,1,Recent-Form Strike Bowlers
Akif Javed,PSL,Bowler,1,Recent-Form Strike Bowlers
Ali Khan,CPL,Bowler,0,Experienced Wicket-Takers
Amad Butt,PSL,Bowler,2,Developing Bowlers
Ankit Sharma,IPL,Bowler,3,"Economical Bowlers, Low Recent Activity"
Anureet Singh,IPL,Bowler,2,Developing Bowlers
Arshad Iqbal,PSL,Bowler,1,Recent-Form Strike Bowlers
Arshdeep Singh,IPL,Bowler,1,Recent-Form Strike Bowlers
Avesh Khan,IPL,Bowler,1,Recent-Form Strike Bowlers
Azeem Rafiq,T20_Blast,Bowler,3,"Economical Bowlers, Low Recent Activity"
Azharullah,T20_Blast,Bowler,2,Developing Bowlers
B Akhil,IPL,Bowler,2,Developing Bowlers
B Doggett,BBL,Bowler,0,Experienced Wicket-Takers
