player_name,league,role,cluster,cluster_name
A Ashish Reddy,IPL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
A Athanaze,CPL,Batsman,3,Elite Established Batters
A Badoni,IPL,Batsman,3,Elite Established Batters
A Balbirnie,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
A Bramble,CPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
A Carter,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Chandila,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Javid,T20_Blast,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
A Kumble,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Lyth,T20_Blast,All-Rounder,3,Elite Established Batters
A Manohar,IPL,Batsman,3,Elite Established Batters
A Mishra,IPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
A Mithun,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Nehra,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Nortje,CPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
A Nortje,IPL,Bowler,0,Elite Bowlers & Bowling All-Rounders
A Phillip,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Shahzad,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Singh,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Symonds,IPL,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
A Zampa,BBL,Bowler,0,Elite Bowlers & Bowling All-Rounders
A Zampa,CPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Zampa,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
A Zampa,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
AA Chavan,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AA Jangoo,CPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AA Jhunjhunwala,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AAP Atkinson,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
AB Agarkar,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AB Dinda,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AB Fudadin,CPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AB McDonald,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AB McDonald,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AB de Villiers,IPL,Wicketkeeper-Batsman,3,Elite Established Batters
AC Agar,BBL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AC Agar,T20_Blast,Bowler,0,Elite Bowlers & Bowling All-Rounders
AC Blizzard,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AC Gilchrist,IPL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AC Lenham,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
AC McDermott,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AC Thomas,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AC Thomas,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AC Thomas,T20_Blast,Bowler,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AC Voges,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AC Voges,CPL,Batsman,1,Developing Bowlers & Bowling All-Rounders
AD Hales,BBL,Batsman,3,Elite Established Batters
AD Hales,CPL,Batsman,3,Elite Established Batters
AD Hales,PSL,Batsman,3,Elite Established Batters
AD Hales,T20_Blast,Batsman,3,Elite Established Batters
AD Mascarenhas,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AD Mathews,IPL,All-Rounder,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AD Nath,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AD Russell,BBL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AD Russell,CPL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AD Russell,IPL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AD Russell,PSL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
AD Thomason,T20_Blast,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
ADS Fletcher,BBL,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
ADS Fletcher,CPL,Wicketkeeper-Batsman,3,Elite Established Batters
AEN Riley,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
AF Milne,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AF Milne,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AF Milne,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
AG Murtaza,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AG Prince,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AG Salter,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AG Wakely,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AGH Orr,T20_Blast,Batsman,3,Elite Established Batters
AHT Donald,T20_Blast,Batsman,3,Elite Established Batters
AI Ross,BBL,Batsman,3,Elite Established Batters
AJ Ball,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
AJ Blake,T20_Blast,Batsman,3,Elite Established Batters
AJ Doolan,BBL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AJ Finch,BBL,Batsman,3,Elite Established Batters
AJ Finch,IPL,Batsman,3,Elite Established Batters
AJ Finch,T20_Blast,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AJ Hodd,T20_Blast,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AJ Hose,BBL,Batsman,3,Elite Established Batters
AJ Hose,T20_Blast,Batsman,3,Elite Established Batters
AJ Hosein,BBL,Bowler,0,Elite Bowlers & Bowling All-Rounders
AJ Hosein,CPL,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AJ Hosein,PSL,Bowler,0,Elite Bowlers & Bowling All-Rounders
AJ Ireland,T20_Blast,Bowler,1,Developing Bowlers & Bowling All-Rounders
AJ Nair,BBL,All-Rounder,1,Developing Bowlers & Bowling All-Rounders
AJ Turner,BBL,Batsman,3,Elite Established Batters
AJ Turner,T20_Blast,Batsman,3,Elite Established Batters
AJ Tye,BBL,Bowler,0,Elite Bowlers & Bowling All-Rounders
AJ Tye,IPL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AJ Tye,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AJA Wheater,T20_Blast,Wicketkeeper-Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AK Markram,IPL,Batsman,3,Elite Established Batters
AL Davies,T20_Blast,Wicketkeeper-Batsman,3,Elite Established Batters
AL Fekete,BBL,Bowler,1,Developing Bowlers & Bowling All-Rounders
AL Hughes,T20_Blast,All-Rounder,0,Elite Bowlers & Bowling All-Rounders
AL Menaria,IPL,Batsman,2,Low-Recent-Activity Batters & Wicketkeeper-Batters
AM Ali,T20_Blast,Batsman,1,Developing Bowlers & Bowling All-Rounders
AM Hardie,BBL,All-Rounder,3,Elite Established Batters
