player_name,league,total_runs,balls_faced,batting_matches_played,innings_played,times_dismissed,batting_average,strike_rate,fours,sixes,boundary_percentage,wickets,balls_bowled,runs_conceded,bowling_matches_played,innings_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,wickets_per_match,recent_strike_rate,recent_batting_average,recent_runs_per_match,recent_economy_rate,recent_wickets_per_match,has_batting_record,has_bowling_record,has_dismissal,has_wicket,role,bat_bowl_ratio,batting_credit_raw,bowling_credit_raw,role_credit,total_matches,reliability_weight,role_credit_reliable,recent_form_score,final_raw_score,performance_credit
A Ashish Reddy,IPL,280.0,193.0,23.0,23.0,15.0,18.67,145.08,16.0,15.0,16.06,18.0,262.0,396.0,20.0,20.0,43.67,9.07,22.0,14.56,0.9,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,All-Rounder,1.15,32.2289,51.814,41.3379,23.0,0.2255,9.3217,0.0,6.9913,5.86
A Athanaze,CPL,344.0,322.0,17.0,17.0,15.0,22.93,106.83,26.0,13.0,12.11,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,106.83,22.93,20.24,38.82,0.0,1,0,1.0,0,Batsman,17.0,27.1382,0.0,27.1382,17.0,0.2361,6.4073,32.2644,12.8716,19.62
A Badoni,IPL,634.0,473.0,35.0,35.0,26.0,24.38,134.04,46.0,24.0,14.8,2.0,25.0,36.0,5.0,5.0,4.17,8.63,18.0,12.5,0.4,134.04,24.38,18.11,8.63,0.4,1,1,1.0,1,Batsman,7.0,33.3325,49.6199,33.3325,35.0,0.3431,11.4364,34.1057,17.1037,26.81
A Balbirnie,T20_Blast,301.0,225.0,16.0,16.0,14.0,21.5,133.78,30.0,7.0,16.44,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Batsman,16.0,32.0083,0.0,32.0083,16.0,0.2424,7.7588,0.0,5.8191,7.65
A Bramble,CPL,78.0,95.0,12.0,12.0,10.0,7.8,82.11,7.0,1.0,8.42,0.0,0.0,0.0,0.0,0.0,0.0,58.23,203.5,118.8,0.0,0.0,0.0,0.0,38.82,0.0,1,0,1.0,0,Batsman,12.0,16.0439,0.0,16.0439,12.0,0.1667,2.6745,0.0,2.0059,1.18
A Carter,T20_Blast,5.0,5.0,2.0,2.0,1.0,5.0,100.0,0.0,0.0,0.0,19.0,328.0,472.0,16.0,16.0,54.67,8.63,24.84,17.26,1.19,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.12,13.2142,52.0966,52.0966,16.0,0.2424,12.6282,0.0,9.4712,7.39
A Chandila,IPL,4.0,7.0,2.0,2.0,0.0,4.0,57.14,0.0,0.0,0.0,11.0,234.0,242.0,12.0,12.0,39.0,6.21,22.0,21.27,0.92,0.0,0.0,0.0,38.82,0.0,1,1,0.0,1,Bowler,0.17,7.3097,53.2847,53.2847,12.0,0.1176,6.2663,0.0,4.6997,1.57
A Javid,T20_Blast,459.0,391.0,33.0,33.0,18.0,25.5,117.39,34.0,7.0,10.49,19.0,537.0,651.0,40.0,40.0,89.5,7.27,34.26,28.26,0.48,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,All-Rounder,0.82,29.0155,52.2882,41.7666,40.0,0.6061,25.3147,0.0,18.986,25.57
A Kumble,IPL,35.0,47.0,15.0,15.0,3.0,11.67,74.47,3.0,0.0,6.38,45.0,965.0,1058.0,42.0,42.0,160.83,6.58,23.51,21.44,1.07,0.0,0.0,0.0,38.82,0.0,1,1,1.0,1,Bowler,0.36,15.3353,59.3664,59.3664,42.0,0.4118,24.4471,0.0,18.3353,18.2
A Lyth,T20_Blast,3297.0,2174.0,117.0,117.0,112.0,29.44,151.66,357.0,130.0,22.4,20.0,423.0,552.0,34.0,34.0,70.5,7.83,27.6,21.15,0.59,145.75,28.0,25.95,11.5,0.0,1,1,1.0,1,All-Rounder,3.44,49.255,52.7461,50.0412,117.0,1.0,50.0412,36.2696,46.5983,70.97
